Date:,11/5/2022,
coordinates:,"62.4680491, 6.3023846",
location:,"62.46804906,6.30238460",
hour,Elevation,Azimuth
5:48:44,-0.833,46.27
6:00:00,0.13,48.77
6:10:00,1.01,50.98
6:20:00,1.92,53.18
6:30:00,2.86,55.37
6:40:00,3.83,57.55
6:50:00,4.82,59.72
7:00:00,5.83,61.88
7:10:00,6.86,64.04
7:20:00,7.91,66.19
7:30:00,8.98,68.34
7:40:00,10.06,70.49
7:50:00,11.16,72.64
8:00:00,12.27,74.79
8:10:00,13.39,76.94
8:20:00,14.52,79.09
8:30:00,15.66,81.26
8:40:00,16.81,83.43
8:50:00,17.96,85.61
9:00:00,19.12,87.8
9:10:00,20.27,90.01
9:20:00,21.43,92.24
9:30:00,22.58,94.48
9:40:00,23.74,96.74
9:50:00,24.88,99.03
10:00:00,26.02,101.35
10:10:00,27.15,103.69
10:20:00,28.27,106.06
10:30:00,29.37,108.46
10:40:00,30.46,110.9
10:50:00,31.54,113.38
11:00:00,32.59,115.9
11:10:00,33.62,118.46
11:20:00,34.62,121.06
11:30:00,35.6,123.72
11:40:00,36.55,126.41
11:50:00,37.46,129.16
12:00:00,38.34,131.97
12:10:00,39.18,134.82
12:20:00,39.98,137.73
12:30:00,40.74,140.69
12:40:00,41.45,143.7
12:50:00,42.11,146.76
13:00:00,42.72,149.88
13:10:00,43.27,153.04
13:20:00,43.77,156.25
13:30:00,44.21,159.5
13:40:00,44.58,162.79
13:50:00,44.89,166.11
14:00:00,45.14,169.45
14:10:00,45.32,172.82
14:20:00,45.43,176.2
14:30:00,45.48,179.59
14:40:00,45.45,182.99
14:50:00,45.36,186.37
15:00:00,45.2,189.74
15:10:00,44.97,193.1
15:20:00,44.68,196.42
15:30:00,44.32,199.72
15:40:00,43.9,202.98
15:50:00,43.43,206.2
16:00:00,42.89,209.38
16:10:00,42.3,212.51
16:20:00,41.65,215.59
16:30:00,40.95,218.61
16:40:00,40.21,221.59
16:50:00,39.43,224.51
17:00:00,38.6,227.38
17:10:00,37.73,230.2
17:20:00,36.82,232.96
17:30:00,35.89,235.67
17:40:00,34.92,238.34
17:50:00,33.92,240.96
18:00:00,32.9,243.53
18:10:00,31.86,246.06
18:20:00,30.8,248.55
18:30:00,29.71,251
18:40:00,28.61,253.42
18:50:00,27.5,255.8
19:00:00,26.38,258.15
19:10:00,25.24,260.47
19:20:00,24.1,262.76
19:30:00,22.95,265.04
19:40:00,21.8,267.29
19:50:00,20.65,269.52
20:00:00,19.49,271.73
20:10:00,18.34,273.93
20:20:00,17.19,276.11
20:30:00,16.05,278.29
20:40:00,14.91,280.45
20:50:00,13.78,282.61
21:00:00,12.66,284.77
21:10:00,11.55,286.92
21:20:00,10.45,289.06
21:30:00,9.37,291.21
21:40:00,8.3,293.36
21:50:00,7.25,295.52
22:00:00,6.22,297.67
22:10:00,5.21,299.83
22:20:00,4.22,302
22:30:00,3.25,304.18
22:40:00,2.31,306.36
22:50:00,1.39,308.56
23:00:00,0.5,310.77
23:15:44,-0.833,314.26
